Local,Preu,Direcció,Districte,Coordenades,Link,Data
Star-bar,"2,10 €","Carrer de Ramon Albó, 72-74, Sant Andreu, 08027 Barcelona",Sant Andreu,"41.42673758376823, 2.1774173193179496",https://maps.app.goo.gl/QcGV1U5gPmmGG3HLA,23/05/24
Cuba De Janeiro,"2,50 €","Av. de Mistral, 33, L'Eixample, 08015 Barcelona",Eixample,"41.37660449883098, 2.157095301532445",https://maps.app.goo.gl/axPskbAAUyncoDgV7,24/05/24
Madame Jasmine,"2,75 €","Rambla del Raval, 22, Ciutat Vella, 08001 Barcelona",Ciutat Vella,"41.37800120586346, 2.1696908285440615",https://maps.app.goo.gl/bSh8BQMgQztYKvrC8,25/05/24
Istambul Kebab,"2,00 €","Rambla del Raval, 20, Ciutat Vella, 08001 Barcelona",Ciutat Vella,"41.37811341019837, 2.1695627530637047",https://maps.app.goo.gl/HZWvSz2Hs4khhFTVA,25/05/24
Casa CINCA,"2,00 €","Carrer del Cinca, 23, Sant Andreu, 08030 Barcelona",Sant Andreu,"41.43782999326304, 2.1920163171794034",https://www.google.com/maps/place/Casa+CINCA/data=!4m2!3m1!19sChIJ___P_9y8pBIRC8r1n7uJHY4,25/05/24
Sta. Madrona,"2,20 €","Plaça de Santa Madrona, 2",Sants-Montjuïc,"41.373441817379465, 2.1563896873683865",https://maps.app.goo.gl/Tr3y12K2TXoTxJwD8,14/06/24
Maryvic,"2,10 €","Plaça dels Jardins d'Elx, 6, Sant Andreu, 08027 Barcelona",Sant Andreu,"41.42328628666958, 2.1884453003627358",https://maps.app.goo.gl/6UffJUpKShQczcpv9,15/06/24
El Racó de Montjuïc,"2,50 €","Carrer de la Font Honrada, 49, Sants-Montjuïc, 08004 Barcelona",Sants-Montjuïc,"41.37234998779161, 2.156053121865185",https://maps.app.goo.gl/UUdvhzSYcywLonTj9,15/06/24
La Cobra,"3,00 €","C/ de Joaquín Costa, 47, bajos, Ciutat Vella, 08001 Barcelona",Ciutat Vella,"41.38294863131283, 2.1652924199786674",https://maps.app.goo.gl/LgcbVN3zSdSbEJgf9,20/06/24
Libertine Cocktail Bar at Casa Bonay,"4,00 €","Gran Via de les Corts Catalanes, 700, L'Eixample, 08010 Barcelona",Eixample,"41.39363920794346, 2.174324880883583","https://www.google.com/maps/search/Libertine/@41.39357376098633,2.17429518699646,17z?hl=es",24/06/24
Sports Bar Italian Food,"3,00 €","Av. Diagonal, 123, Sant Martí, 08018 Barcelona",Sant Martí,"41.406742128359966, 2.2016598733334223",https://maps.app.goo.gl/C9x5MYksP467nkmM7,26/06/24
