Local,Preu,Direcció,Districte,Coordenades,Link,Data
Dragón Via Julia,"2,30 €","Via Júlia, 23, Nou Barris, 08042 Barcelona",Nou Barris,"41.43977197266024, 2.175531445891712",https://maps.app.goo.gl/x7f64iUk8oPKj1Xu7,9/02/24
Tarea Fina,"2,20 €","C. de Floridablanca, 121, L'Eixample, 08011 Barcelona",Eixample,"41.380779742533285, 2.1613385807082697",https://maps.app.goo.gl/pKvQqrEtdm81PgJ36,12/02/24
El rincón de los amigos,"2,20 €","Avinguda Meridiana, 302, Sant Andreu, 08027 Barcelona",Sant Andreu,"41.42323817724328, 2.1872569864284883",https://maps.app.goo.gl/MdJyVN29c9wfmDDz7,13/02/24
El Racó de l'Opa,"2,00 €","Plaça de Maragall, 7, Horta-Guinardó, 08041 Barcelona",Horta-Guinardó,"41.42013332767205, 2.180174830679414",https://maps.app.goo.gl/3hoEhtgqRSmfdBLT9,13/02/24
Woody Bar,"2,95 €","Plaça del Sol, 7, Gràcia, 08012 Barcelona",Gràcia,"41.401764760051606, 2.156990036367222",https://maps.app.goo.gl/51NpTRZysCuYf1sD8,14/02/24
El Raïm,"2,30 €","C/ de Muntaner, 75, L'Eixample, 08011 Barcelona",Eixample,"41.387090343369955, 2.1586013664013137",https://maps.app.goo.gl/ps42azw5RZh61poh6,14/02/24
Frankfurt Can Eusebio,"3,00 €","Av. del Paral·lel, 95, Sants-Montjuïc, 08004 Barcelona",Sants-Montjuïc,"41.374771049203524, 2.164162153061724",https://maps.app.goo.gl/iw8KdMKKXi3kXpBaA,17/02/24
Sagradas Tapas,"2,40 €","Av. de Gaudí, 48, L'Eixample, 08025 Barcelona",Eixample,"41.408518873849374, 2.174510307534942",https://maps.app.goo.gl/5tgoX3dsGfYWFhyN7,18/02/24
Polosko Tapas Bar,"2,10 €","C/ de Vèlia, 32, Nou Barris, 08016 Barcelona",Nou Barris,"41.42998489874995, 2.18095828517571",https://maps.app.goo.gl/VCUG3apsbaBYr4tL6,21/02/24
Bar Gerveseria,"2,40 €","Carrer de la Marina, 261, L'Eixample, 08025 Barcelona, España",Eixample,"41.40473407848793, 2.173974113472083",https://maps.app.goo.gl/Db38KmuK59AmQpJp6,23/02/24
Frankfurt Station,"2,40 €","Carrer de la Creu Coberta, 31, Sants-Montjuïc, 08014 Barcelona, España",Sants-Montjuïc,"41.37504796747977, 2.147203743603055",https://maps.app.goo.gl/vtkFkVo34uUK47Gp8,24/02/24
Bar Restaurante Lepanto,"2,20 €","C/ de Lepant, 293, L'Eixample, 08025 Barcelona, España",Eixample,"41.40557637412023, 2.1749850418989842",https://maps.app.goo.gl/p5nhcx9m5dsZCfod8,25/02/24
Bar Ibles,"2,00 €","Carrer d'Antoni Costa, 24, 26, Nou Barris, 08016 Barcelona",Nou Barris,"41.42978856640363, 2.1818249111360744",https://maps.app.goo.gl/dSPuC9W4BLEWZbrdA,1/03/24
Diamàntic,"2,30 €","Carrèr de Tànger, 54, Sant Martí, 08018 Barcelona",Sant Martí,"41.400517187583006, 2.1904095387753277",https://maps.app.goo.gl/eC4vg5uVvaZrKiVK7,5/03/24
CRIPTOCAFÉ BAR,"2,20 €","C/ d'Hondures, 73, Sant Andreu, 08027 Barcelona",Sant Andreu,"41.421616295954735, 2.1873861272895754",https://maps.app.goo.gl/26vn5b6ijTk97waWA,6/03/24
Bellmore,"2,20 €","Carrer de Juan de Garay, 53, Sant Andreu, 08027 Barcelona",Sant Andreu,"41.41986367340667, 2.183487020989466",https://maps.app.goo.gl/r6a42FmnYdqbnJKu5,7/03/24
